"Species","ISpecies","Aroma","Flavor","Aftertaste","Acidity","Sweetness","Ratings"
"Arabica",1,8.67,8.83,8.67,8.75,10,90.58
"Arabica",1,8.75,8.67,8.5,8.58,10,89.92
"Arabica",1,8.42,8.5,8.42,8.42,10,89.75
"Arabica",1,8.17,8.58,8.42,8.42,10,89
"Arabica",1,8.25,8.5,8.25,8.5,10,88.83
"Arabica",1,8.58,8.42,8.42,8.5,10,88.83
"Arabica",1,8.42,8.5,8.33,8.5,10,88.75
"Arabica",1,8.25,8.33,8.5,8.42,9.33,88.67
"Arabica",1,8.67,8.67,8.58,8.42,9.33,88.42
"Arabica",1,8.08,8.58,8.5,8.5,10,88.25
"Arabica",1,8.17,8.67,8.25,8.5,10,88.08
"Arabica",1,8.25,8.42,8.17,8.33,10,87.92
"Arabica",1,8.08,8.67,8.33,8.42,10,87.92
"Arabica",1,8.33,8.42,8.08,8.25,10,87.92
"Arabica",1,8.25,8.33,8.5,8.25,9.33,87.83
"Arabica",1,8,8.5,8.58,8.17,10,87.58
"Arabica",1,8.33,8.25,7.83,7.75,10,87.42
"Arabica",1,8.17,8.33,8.25,8.33,9.33,87.33
"Arabica",1,8.42,8.25,8.08,8.17,10,87.25
"Arabica",1,8.17,8.17,8,8.17,10,87.25
"Arabica",1,8,8.25,8.08,8.5,10,87.25
"Arabica",1,8.08,8.25,8,8.17,10,87.17
"Arabica",1,8.17,8.25,8.17,8,10,87.17
"Arabica",1,8.25,8.33,8.17,8.17,10,87.08
"Arabica",1,8.42,8.17,7.92,8.17,10,87.08
"Arabica",1,8.5,8.5,8,8,10,86.92
"Arabica",1,7.83,8.25,8.08,8.17,10,86.92
"Arabica",1,8.42,8.17,8.17,8.17,10,86.83
"Arabica",1,8.17,8.08,8.08,8,10,86.67
"Arabica",1,8,8,8,8.25,10,86.58
"Arabica",1,7.92,8.25,8,8.33,10,86.58
"Arabica",1,8.42,8.17,8.17,8,10,86.5
"Arabica",1,8.5,8.17,8,7.75,10,86.42
"Arabica",1,8.17,7.83,8,8.08,10,86.33
"Arabica",1,8,8.08,7.92,8,10,86.25
"Arabica",1,8.08,8,8,8.25,10,86.25
"Arabica",1,8.08,8.17,8,7.92,10,86.25
"Arabica",1,8.25,8.42,8.08,7.75,10,86.25
"Arabica",1,7.92,7.75,8.08,8.08,10,86.25
"Arabica",1,7.67,8.17,8,8,10,86.17
"Arabica",1,7.83,8.33,7.83,8.25,10,86.17
"Arabica",1,8.17,7.92,7.92,7.75,10,86.17
"Arabica",1,8.42,7.92,8,7.75,10,86.17
"Arabica",1,8.08,8.17,7.75,8.08,10,86.08
"Arabica",1,8.08,8.08,8,8,10,86.08
"Arabica",1,8.33,8,8,8,10,86.08
"Arabica",1,8.08,8.08,7.83,7.92,10,86
"Arabica",1,7.75,7.92,7.83,8.08,10,86
"Arabica",1,7.92,8.17,7.83,8.5,10,86
"Arabica",1,8.25,8,7.83,8.08,10,86
"Arabica",1,7.75,8.08,8,8.25,10,86
"Arabica",1,8.33,8.17,7.75,8,10,86
"Arabica",1,7.92,8.08,7.92,8.08,10,85.92
"Arabica",1,8.17,8.17,7.92,8.08,10,85.92
"Arabica",1,8,8,8,8.17,10,85.92
"Arabica",1,8,8,7.92,8.08,10,85.83
"Arabica",1,7.83,8.08,7.92,8.08,10,85.83
"Arabica",1,7.83,8,8,8.17,10,85.83
"Arabica",1,8,8,7.83,8.33,10,85.83
"Arabica",1,7.83,8,7.83,8.17,10,85.75
"Arabica",1,8,8,8,8.08,10,85.75
"Arabica",1,8.33,8.42,7.83,8.33,10,85.75
"Arabica",1,7.92,8.17,8,7.92,10,85.58
"Arabica",1,7.83,8,8,7.75,10,85.58
"Arabica",1,7.83,8,7.92,7.75,10,85.58
"Arabica",1,8,7.75,7.83,7.83,10,85.5
"Arabica",1,7.92,7.92,7.83,8.08,10,85.5
"Arabica",1,7.83,8,7.83,7.92,10,85.5
"Arabica",1,8.33,7.92,7.67,7.92,10,85.5
"Arabica",1,8,7.83,7.67,8.33,10,85.5
"Arabica",1,7.75,7.83,7.83,8.17,10,85.42
"Arabica",1,8.08,8,7.83,7.67,10,85.42
"Arabica",1,7.92,7.92,7.75,7.92,10,85.42
"Arabica",1,8,8,8,7.67,10,85.42
"Arabica",1,8.08,7.83,7.83,8.08,10,85.42
"Arabica",1,8,8,8,7.83,10,85.33
"Arabica",1,7.83,7.75,7.83,7.67,10,85.33
"Arabica",1,7.92,8.08,8,7.92,9.33,85.33
"Arabica",1,8,7.58,7.58,7.67,10,85.33
"Arabica",1,7.83,8.08,7.75,8.08,10,85.33
"Arabica",1,8,7.92,7.92,8.08,10,85.33
"Arabica",1,7.83,7.83,7.92,8.08,10,85.33
"Arabica",1,7.92,7.83,7.75,8.33,10,85.33
"Arabica",1,8,7.92,7.75,8,10,85.25
"Arabica",1,8.17,7.92,7.83,8,10,85.25
"Arabica",1,7.58,8.08,7.92,7.83,10,85.25
"Arabica",1,7.75,7.83,7.67,8,10,85.17
"Arabica",1,8.25,8,7.67,7.92,10,85.17
"Arabica",1,7.75,8,7.58,8,10,85.08
"Arabica",1,8.17,7.83,7.58,8.08,10,85.08
"Arabica",1,8.42,8,7.42,8,10,85.08
"Arabica",1,7.58,7.83,7.83,7.92,10,85.08
"Arabica",1,7.83,8,7.75,7.75,10,85.08
"Arabica",1,8.08,8.17,7.92,8,10,85.08
"Arabica",1,7.67,8,7.83,8,10,85.08
"Arabica",1,7.5,7.92,8.25,7.83,10,85.08
"Arabica",1,8.17,7.92,7.75,7.75,10,85
"Arabica",1,8,7.92,7.75,7.92,10,85
"Arabica",1,7.83,8,7.58,7.92,10,85
"Arabica",1,7.83,8,7.83,7.75,10,85
"Arabica",1,8.17,7.83,7.92,7.75,10,85
"Arabica",1,7.75,7.83,7.75,8.08,10,85
"Arabica",1,8,8,7.83,7.83,10,85
"Arabica",1,7.92,8.17,7.75,8.08,10,85
"Arabica",1,7.75,7.92,7.75,7.75,10,85
"Arabica",1,7.83,8.08,7.67,8,10,85
"Arabica",1,7.92,7.92,7.67,7.83,10,84.92
"Arabica",1,7.92,7.83,7.75,7.83,10,84.92
"Arabica",1,7.67,7.83,8,7.58,10,84.92
"Arabica",1,8,7.83,7.83,7.92,10,84.92
"Arabica",1,7.75,7.92,7.83,7.75,10,84.92
"Arabica",1,7.75,8,7.75,7.83,10,84.92
"Arabica",1,8,7.92,7.75,7.75,10,84.92
"Arabica",1,8,8,7.75,8,10,84.92
"Arabica",1,8,7.67,7.83,8.17,10,84.92
"Arabica",1,7.92,7.58,7.83,7.83,10,84.83
"Arabica",1,7.75,7.92,7.67,7.67,10,84.83
"Arabica",1,7.67,7.75,7.75,7.75,10,84.83
"Arabica",1,7.75,7.92,7.83,7.92,10,84.83
"Arabica",1,7.42,7.92,7.92,8,10,84.83
"Arabica",1,7.75,7.75,7.75,7.75,10,84.75
